N1	N2	W
80	79	1
168	79	1
168	79	1
169	79	1
170	79	1
170	79	1
170	79	1
170	79	1
176	79	1
177	79	1
177	79	1
18	80	1
19	80	1
28	80	1
54	80	1
54	80	1
60	80	1
60	80	1
79	80	1
79	80	1
176	80	1
183	80	1
126	80	1
167	80	1
167	80	1
169	80	1
169	80	1
169	80	1
176	80	1
176	80	1
176	80	1
178	80	1
183	80	1
3	81	1
3	81	1
24	81	1
24	81	1
65	81	1
68	81	1
70	81	1
72	81	1
72	81	1
114	81	1
157	81	1
157	81	1
157	81	1
158	81	1
158	81	1
203	81	1
228	81	1
4	82	1
25	82	1
25	82	1
54	82	1
65	82	1
67	82	1
72	82	1
72	82	1
84	82	1
115	82	1
115	82	1
115	82	1
152	82	1
152	82	1
157	82	1
157	82	1
157	82	1
158	82	1
158	82	1
158	82	1
210	82	1
229	82	1
3	83	1
24	83	1
61	83	1
61	83	1
133	83	1
178	83	1
116	83	1
131	83	1
131	83	1
133	83	1
169	83	1
171	83	1
171	83	1
172	83	1
172	83	1
178	83	1
181	83	1
184	83	1
191	83	1
191	83	1
199	83	1
199	83	1
199	83	1
202	83	1
202	83	1
213	83	1
213	83	1
221	83	1
228	83	1
232	83	1
232	83	1
236	83	1
4	84	1
25	84	1
60	84	1
82	84	1
134	84	1
178	84	1
117	84	1
119	84	1
123	84	1
132	84	1
132	84	1
132	84	1
132	84	1
134	84	1
170	84	1
171	84	1
172	84	1
178	84	1
184	84	1
184	84	1
187	84	1
192	84	1
200	84	1
201	84	1
202	84	1
212	84	1
221	84	1
229	84	1
233	84	1
233	84	1
237	84	1
7	85	1
24	85	1
61	85	1
61	85	1
135	85	1
178	85	1
120	85	1
131	85	1
131	85	1
135	85	1
167	85	1
171	85	1
171	85	1
172	85	1
178	85	1
181	85	1
184	85	1
187	85	1
201	85	1
214	85	1
214	85	1
230	85	1
25	86	1
43	86	1
51	86	1
60	86	1
60	86	1
136	86	1
178	86	1
121	86	1
121	86	1
127	86	1
132	86	1
132	86	1
132	86	1
136	86	1
168	86	1
171	86	1
172	86	1
172	86	1
178	86	1
178	86	1
182	86	1
184	86	1
185	86	1
188	86	1
202	86	1
215	86	1
231	86	1
29	87	1
54	87	1
55	87	1
58	87	1
59	87	1
60	87	1
61	87	1
72	87	1
54	87	1
55	87	1
90	87	1
208	87	1
209	87	1
103	87	1
103	87	1
269	87	1
269	87	1
270	87	1
54	88	1
55	88	1
58	88	1
59	88	1
60	88	1
61	88	1
61	88	1
71	88	1
30	88	1
31	88	1
54	88	1
55	88	1
208	88	1
240	88	1
103	88	1
103	88	1
152	88	1
269	88	1
270	88	1
270	88	1
271	88	1
271	88	1
31	89	1
32	89	1
54	89	1
55	89	1
58	89	1
59	89	1
59	89	1
60	89	1
60	89	1
61	89	1
32	89	1
55	89	1
90	89	1
90	89	1
90	89	1
97	89	1
98	89	1
104	89	1
104	89	1
271	89	1
271	89	1
272	89	1
54	90	1
55	90	1
58	90	1
58	90	1
59	90	1
59	90	1
60	90	1
89	90	1
89	90	1
54	90	1
55	90	1
87	90	1
98	90	1
257	90	1
98	90	1
104	90	1
272	90	1
273	90	1
273	90	1
54	91	1
55	91	1
57	91	1
58	91	1
59	91	1
34	91	1
54	91	1
55	91	1
243	91	1
244	91	1
99	91	1
115	91	1
152	91	1
273	91	1
274	91	1
274	91	1
54	92	1
55	92	1
54	92	1
55	92	1
115	92	1
152	92	1
173	92	1
173	92	1
272	92	1
272	92	1
273	92	1
273	92	1
274	92	1
54	93	1
55	93	1
54	93	1
54	94	1
55	94	1
55	94	1
58	94	1
59	94	1
64	94	1
55	94	1
95	94	1
110	94	1
110	94	1
142	94	1
144	94	1
251	94	1
54	95	1
54	95	1
55	95	1
59	95	1
94	95	1
137	95	1
145	95	1
173	95	1
108	95	1
137	95	1
145	95	1
146	95	1
153	95	1
163	95	1
251	95	1
281	95	1
29	96	1
30	96	1
30	96	1
31	96	1
14	96	1
57	96	1
97	96	1
99	96	1
109	96	1
173	96	1
184	96	1
254	96	1
255	96	1
103	96	1
103	96	1
269	96	1
269	96	1
270	96	1
270	96	1
271	96	1
89	97	1
57	97	1
96	97	1
98	97	1
252	97	1
104	97	1
104	97	1
109	97	1
152	97	1
153	97	1
163	97	1
271	97	1
271	97	1
272	97	1
272	97	1
273	97	1
32	98	1
33	98	1
55	98	1
61	98	1
89	98	1
90	98	1
56	98	1
57	98	1
90	98	1
97	98	1
99	98	1
104	98	1
105	98	1
109	98	1
152	98	1
153	98	1
163	98	1
272	98	1
273	98	1
273	98	1
274	98	1
274	98	1
59	99	1
91	99	1
56	99	1
57	99	1
96	99	1
98	99	1
253	99	1
255	99	1
105	99	1
109	99	1
152	99	1
153	99	1
264	99	1
274	99	1
274	99	1
54	100	1
55	100	1
55	100	1
56	100	1
57	100	1
109	100	1
152	100	1
153	100	1
54	101	1
55	101	1
54	101	1
56	101	1
57	101	1
109	101	1
152	101	1
153	101	1
56	102	1
57	102	1
109	102	1
109	102	1
152	102	1
152	102	1
153	102	1
251	102	1
281	102	1
30	103	1
31	103	1
71	103	1
87	103	1
88	103	1
88	103	1
96	103	1
57	103	1
104	103	1
269	103	1
270	103	1
157	103	1
162	103	1
173	103	1
173	103	1
240	103	1
241	103	1
242	103	1
252	103	1
253	103	1
263	103	1
264	103	1
265	103	1
269	103	1
270	103	1
270	103	1
33	104	1
89	104	1
89	104	1
90	104	1
97	104	1
98	104	1
103	104	1
105	104	1
272	104	1
160	104	1
173	104	1
173	104	1
242	104	1
243	104	1
244	104	1
253	104	1
254	104	1
255	104	1
263	104	1
264	104	1
265	104	1
271	104	1
272	104	1
98	105	1
99	105	1
104	105	1
106	105	1
158	105	1
173	105	1
173	105	1
244	105	1
245	105	1
246	105	1
255	105	1
256	105	1
263	105	1
264	105	1
265	105	1
105	106	1
265	106	1
276	106	1
246	106	1
247	106	1
248	106	1
257	106	1
258	106	1
265	106	1
276	106	1
278	107	1
154	107	1
248	107	1
259	107	1
259	107	1
260	107	1
277	107	1
278	107	1
71	108	1
95	108	1
110	108	1
137	108	1
250	108	1
251	108	1
261	108	1
262	108	1
21	109	1
21	109	1
22	109	1
22	109	1
28	109	1
28	109	1
52	109	1
53	109	1
54	109	1
55	109	1
56	109	1
60	109	1
60	109	1
61	109	1
61	109	1
69	109	1
97	109	1
98	109	1
99	109	1
100	109	1
101	109	1
102	109	1
102	109	1
56	109	1
57	109	1
96	109	1
152	109	1
163	109	1
112	109	1
113	109	1
139	109	1
139	109	1
139	109	1
139	109	1
140	109	1
140	109	1
141	109	1
142	109	1
142	109	1
145	109	1
145	109	1
146	109	1
146	109	1
148	109	1
152	109	1
152	109	1
153	109	1
155	109	1
155	109	1
156	109	1
156	109	1
163	109	1
163	109	1
163	109	1
167	109	1
168	109	1
168	109	1
180	109	1
183	109	1
183	109	1
204	109	1
205	109	1
206	109	1
207	109	1
211	109	1
220	109	1
221	109	1
222	109	1
223	109	1
241	109	1
251	109	1
252	109	1
252	109	1
262	109	1
71	110	1
71	110	1
94	110	1
94	110	1
108	110	1
37	110	1
71	110	1
248	110	1
260	110	1
111	110	1
137	110	1
145	110	1
159	110	1
159	110	1
13	111	1
14	111	1
54	111	1
55	111	1
56	111	1
59	111	1
69	111	1
70	111	1
110	111	1
13	111	1
14	111	1
71	111	1
159	111	1
160	111	1
248	111	1
269	111	1
278	111	1
160	111	1
160	111	1
162	111	1
164	111	1
164	111	1
169	111	1
170	111	1
176	111	1
176	111	1
176	111	1
177	111	1
197	111	1
198	111	1
263	111	1
264	111	1
265	111	1
267	111	1
3	112	1
3	112	1
3	112	1
4	112	1
4	112	1
13	112	1
13	112	1
13	112	1
14	112	1
54	112	1
54	112	1
55	112	1
56	112	1
56	112	1
57	112	1
57	112	1
58	112	1
59	112	1
109	112	1
54	112	1
58	112	1
113	112	1
178	112	1
113	112	1
113	112	1
153	112	1
210	112	1
1	113	1
4	113	1
4	113	1
4	113	1
14	113	1
54	113	1
54	113	1
55	113	1
56	113	1
57	113	1
58	113	1
58	113	1
59	113	1
60	113	1
61	113	1
68	113	1
109	113	1
112	113	1
112	113	1
58	113	1
59	113	1
112	113	1
152	113	1
252	113	1
11	114	1
11	114	1
16	114	1
20	114	1
21	114	1
22	114	1
44	114	1
45	114	1
48	114	1
49	114	1
50	114	1
59	114	1
62	114	1
62	114	1
62	114	1
67	114	1
67	114	1
75	114	1
75	114	1
76	114	1
81	114	1
115	114	1
115	114	1
115	114	1
147	114	1
161	114	1
174	114	1
179	114	1
183	114	1
208	114	1
267	114	1
267	114	1
13	115	1
14	115	1
16	115	1
19	115	1
21	115	1
22	115	1
33	115	1
44	115	1
45	115	1
48	115	1
49	115	1
57	115	1
59	115	1
62	115	1
62	115	1
63	115	1
67	115	1
67	115	1
71	115	1
71	115	1
75	115	1
82	115	1
82	115	1
82	115	1
91	115	1
92	115	1
114	115	1
114	115	1
114	115	1
148	115	1
158	115	1
158	115	1
158	115	1
158	115	1
162	115	1
162	115	1
175	115	1
175	115	1
175	115	1
200	115	1
207	115	1
209	115	1
245	115	1
264	115	1
264	115	1
265	115	1
265	115	1
272	115	1
83	116	1
117	116	1
118	116	1
131	116	1
196	116	1
118	116	1
122	116	1
163	116	1
163	116	1
178	116	1
181	116	1
188	116	1
191	116	1
228	116	1
236	116	1
84	117	1
116	117	1
119	117	1
132	117	1
196	117	1
119	117	1
123	117	1
132	117	1
163	117	1
182	117	1
192	117	1
229	117	1
3	118	1
61	118	1
116	118	1
116	118	1
120	118	1
120	118	1
124	118	1
187	118	1
189	118	1
190	118	1
191	118	1
192	118	1
195	118	1
232	118	1
60	119	1
61	119	1
84	119	1
117	119	1
117	119	1
121	119	1
121	119	1
125	119	1
168	119	1
187	119	1
188	119	1
189	119	1
189	119	1
190	119	1
191	119	1
192	119	1
194	119	1
201	119	1
231	119	1
233	119	1
235	119	1
85	120	1
118	120	1
118	120	1
121	120	1
193	120	1
126	120	1
131	120	1
135	120	1
135	120	1
163	120	1
181	120	1
187	120	1
238	120	1
238	120	1
86	121	1
86	121	1
119	121	1
119	121	1
120	121	1
125	121	1
127	121	1
127	121	1
132	121	1
136	121	1
163	121	1
182	121	1
182	121	1
188	121	1
195	121	1
239	121	1
52	122	1
116	122	1
133	122	1
169	122	1
181	122	1
194	122	1
195	122	1
228	122	1
228	122	1
84	123	1
117	123	1
172	123	1
182	123	1
193	123	1
194	123	1
195	123	1
196	123	1
229	123	1
3	124	1
3	124	1
3	124	1
60	124	1
118	124	1
199	124	1
126	124	1
133	124	1
133	124	1
135	124	1
135	124	1
171	124	1
178	124	1
178	124	1
189	124	1
189	124	1
190	124	1
195	124	1
196	124	1
234	124	1
4	125	1
4	125	1
119	125	1
121	125	1
200	125	1
235	125	1
132	125	1
132	125	1
132	125	1
134	125	1
136	125	1
136	125	1
178	125	1
178	125	1
189	125	1
189	125	1
194	125	1
196	125	1
233	125	1
233	125	1
80	126	1
120	126	1
124	126	1
135	126	1
135	126	1
167	126	1
178	126	1
181	126	1
194	126	1
194	126	1
195	126	1
196	126	1
230	126	1
86	127	1
121	127	1
121	127	1
136	127	1
136	127	1
168	127	1
178	127	1
178	127	1
182	127	1
182	127	1
194	127	1
195	127	1
196	127	1
231	127	1
235	127	1
54	128	1
54	128	1
55	128	1
55	128	1
55	128	1
58	128	1
58	128	1
59	128	1
59	128	1
67	128	1
54	128	1
147	128	1
163	128	1
143	128	1
145	128	1
157	128	1
165	128	1
251	128	1
54	129	1
55	129	1
55	129	1
58	129	1
59	129	1
68	129	1
148	129	1
163	129	1
146	129	1
151	129	1
151	129	1
153	129	1
153	129	1
163	129	1
165	129	1
3	131	1
3	131	1
61	131	1
61	131	1
83	131	1
83	131	1
85	131	1
85	131	1
120	131	1
116	131	1
132	131	1
176	131	1
169	131	1
187	131	1
189	131	1
191	131	1
194	131	1
204	131	1
224	131	1
224	131	1
225	131	1
225	131	1
227	131	1
236	131	1
4	132	1
8	132	1
60	132	1
60	132	1
84	132	1
84	132	1
84	132	1
84	132	1
86	132	1
86	132	1
86	132	1
117	132	1
121	132	1
125	132	1
125	132	1
125	132	1
117	132	1
131	132	1
177	132	1
170	132	1
170	132	1
184	132	1
188	132	1
189	132	1
189	132	1
192	132	1
195	132	1
205	132	1
225	132	1
226	132	1
227	132	1
267	132	1
83	133	1
122	133	1
124	133	1
124	133	1
83	133	1
169	133	1
176	133	1
191	133	1
232	133	1
172	133	1
178	133	1
178	133	1
181	133	1
182	133	1
188	133	1
188	133	1
218	133	1
16	134	1
84	134	1
125	134	1
84	134	1
170	134	1
177	134	1
178	134	1
192	134	1
233	134	1
171	134	1
172	134	1
178	134	1
181	134	1
182	134	1
187	134	1
187	134	1
202	134	1
219	134	1
5	135	1
7	135	1
85	135	1
120	135	1
120	135	1
124	135	1
124	135	1
126	135	1
126	135	1
7	135	1
85	135	1
169	135	1
176	135	1
187	135	1
232	135	1
171	135	1
178	135	1
178	135	1
181	135	1
192	135	1
192	135	1
216	135	1
86	136	1
121	136	1
125	136	1
125	136	1
127	136	1
127	136	1
86	136	1
170	136	1
177	136	1
188	136	1
233	136	1
172	136	1
178	136	1
178	136	1
182	136	1
191	136	1
195	136	1
217	136	1
235	136	1
39	137	1
39	137	1
95	137	1
108	137	1
110	137	1
95	137	1
158	137	1
281	137	1
39	138	1
39	138	1
173	138	1
281	138	1
55	139	1
69	139	1
69	139	1
69	139	1
69	139	1
109	139	1
109	139	1
109	139	1
109	139	1
140	139	1
153	139	1
156	139	1
140	139	1
148	139	1
153	139	1
156	139	1
156	139	1
156	139	1
163	139	1
163	139	1
248	139	1
279	139	1
55	140	1
62	140	1
69	140	1
69	140	1
109	140	1
109	140	1
139	140	1
139	140	1
156	140	1
247	140	1
277	140	1
148	140	1
152	140	1
153	140	1
156	140	1
156	140	1
163	140	1
59	141	1
62	141	1
64	141	1
64	141	1
64	141	1
65	141	1
66	141	1
109	141	1
142	141	1
142	141	1
142	141	1
142	141	1
143	141	1
144	141	1
161	141	1
64	142	1
64	142	1
66	142	1
94	142	1
109	142	1
109	142	1
141	142	1
141	142	1
141	142	1
141	142	1
143	142	1
159	142	1
144	142	1
161	142	1
54	143	1
55	143	1
58	143	1
128	143	1
141	143	1
142	143	1
144	143	1
144	143	1
144	143	1
152	143	1
251	143	1
54	144	1
55	144	1
58	144	1
59	144	1
62	144	1
94	144	1
141	144	1
142	144	1
143	144	1
143	144	1
65	144	1
143	144	1
152	144	1
153	144	1
251	144	1
54	145	1
95	145	1
109	145	1
109	145	1
110	145	1
128	145	1
95	145	1
146	145	1
147	145	1
251	145	1
146	145	1
152	145	1
251	145	1
66	146	1
95	146	1
109	146	1
109	146	1
129	146	1
145	146	1
145	146	1
153	146	1
251	146	1
153	146	1
251	146	1
114	147	1
128	147	1
145	147	1
152	147	1
34	148	1
54	148	1
54	148	1
55	148	1
58	148	1
59	148	1
67	148	1
109	148	1
115	148	1
139	148	1
140	148	1
129	148	1
153	148	1
163	148	1
152	148	1
203	149	1
222	149	1
222	149	1
222	149	1
204	150	1
223	150	1
223	150	1
54	151	1
54	151	1
55	151	1
55	151	1
58	151	1
59	151	1
59	151	1
64	151	1
129	151	1
129	151	1
159	151	1
157	151	1
157	151	1
158	151	1
8	152	1
8	152	1
24	152	1
24	152	1
29	152	1
54	152	1
54	152	1
54	152	1
54	152	1
55	152	1
55	152	1
55	152	1
56	152	1
57	152	1
57	152	1
58	152	1
58	152	1
59	152	1
60	152	1
61	152	1
64	152	1
67	152	1
67	152	1
67	152	1
68	152	1
68	152	1
72	152	1
82	152	1
82	152	1
88	152	1
91	152	1
92	152	1
97	152	1
98	152	1
98	152	1
99	152	1
99	152	1
100	152	1
101	152	1
102	152	1
102	152	1
109	152	1
109	152	1
113	152	1
140	152	1
143	152	1
144	152	1
145	152	1
148	152	1
54	152	1
67	152	1
68	152	1
109	152	1
147	152	1
153	152	1
260	152	1
261	152	1
153	152	1
153	152	1
153	152	1
154	152	1
155	152	1
155	152	1
156	152	1
157	152	1
158	152	1
160	152	1
173	152	1
173	152	1
175	152	1
184	152	1
218	152	1
251	152	1
254	152	1
255	152	1
256	152	1
257	152	1
259	152	1
261	152	1
262	152	1
281	152	1
24	153	1
24	153	1
25	153	1
28	153	1
28	153	1
30	153	1
54	153	1
54	153	1
54	153	1
54	153	1
55	153	1
55	153	1
56	153	1
56	153	1
57	153	1
58	153	1
59	153	1
60	153	1
60	153	1
61	153	1
67	153	1
68	153	1
68	153	1
71	153	1
72	153	1
72	153	1
95	153	1
97	153	1
98	153	1
98	153	1
99	153	1
100	153	1
101	153	1
102	153	1
109	153	1
112	153	1
129	153	1
129	153	1
139	153	1
140	153	1
144	153	1
146	153	1
152	153	1
152	153	1
152	153	1
54	153	1
55	153	1
67	153	1
139	153	1
146	153	1
148	153	1
152	153	1
165	153	1
166	153	1
247	153	1
154	153	1
154	153	1
155	153	1
248	153	1
159	153	1
159	153	1
160	153	1
160	153	1
163	153	1
163	153	1
166	153	1
166	153	1
173	153	1
173	153	1
175	153	1
219	153	1
251	153	1
255	153	1
255	153	1
257	153	1
257	153	1
258	153	1
259	153	1
261	153	1
262	153	1
264	153	1
281	153	1
54	154	1
55	154	1
107	154	1
152	154	1
153	154	1
153	154	1
155	154	1
278	154	1
54	155	1
55	155	1
109	155	1
109	155	1
152	155	1
152	155	1
153	155	1
154	155	1
248	155	1
69	156	1
69	156	1
69	156	1
72	156	1
109	156	1
109	156	1
139	156	1
139	156	1
139	156	1
140	156	1
140	156	1
152	156	1
71	156	1
139	156	1
140	156	1
163	156	1
54	157	1
57	157	1
58	157	1
59	157	1
60	157	1
62	157	1
63	157	1
64	157	1
66	157	1
67	157	1
68	157	1
68	157	1
71	157	1
72	157	1
81	157	1
81	157	1
81	157	1
82	157	1
82	157	1
82	157	1
103	157	1
128	157	1
151	157	1
151	157	1
152	157	1
57	157	1
158	157	1
158	157	1
162	157	1
164	157	1
165	157	1
174	157	1
16	158	1
54	158	1
54	158	1
56	158	1
56	158	1
57	158	1
59	158	1
60	158	1
60	158	1
64	158	1
64	158	1
67	158	1
67	158	1
68	158	1
71	158	1
81	158	1
81	158	1
82	158	1
82	158	1
82	158	1
105	158	1
115	158	1
115	158	1
115	158	1
137	158	1
151	158	1
152	158	1
157	158	1
157	158	1
115	158	1
164	158	1
165	158	1
250	158	1
264	158	1
264	158	1
265	158	1
265	158	1
274	158	1
275	158	1
280	158	1
1	159	1
28	159	1
28	159	1
54	159	1
54	159	1
55	159	1
55	159	1
56	159	1
56	159	1
57	159	1
59	159	1
61	159	1
66	159	1
66	159	1
110	159	1
110	159	1
153	159	1
153	159	1
28	159	1
54	159	1
69	159	1
70	159	1
111	159	1
142	159	1
151	159	1
160	159	1
164	159	1
271	159	1
281	159	1
174	159	1
176	159	1
183	159	1
6	160	1
6	160	1
28	160	1
45	160	1
45	160	1
54	160	1
55	160	1
56	160	1
57	160	1
64	160	1
65	160	1
65	160	1
71	160	1
71	160	1
71	160	1
104	160	1
111	160	1
111	160	1
152	160	1
153	160	1
153	160	1
28	160	1
69	160	1
111	160	1
159	160	1
272	160	1
273	160	1
162	160	1
168	160	1
175	160	1
177	160	1
180	160	1
200	160	1
265	160	1
11	161	1
11	161	1
15	161	1
48	161	1
48	161	1
48	161	1
50	161	1
62	161	1
63	161	1
65	161	1
70	161	1
114	161	1
141	161	1
142	161	1
1	161	1
50	161	1
162	161	1
199	161	1
12	162	1
12	162	1
41	162	1
49	162	1
49	162	1
51	162	1
56	162	1
62	162	1
63	162	1
64	162	1
65	162	1
68	162	1
71	162	1
74	162	1
103	162	1
111	162	1
115	162	1
115	162	1
160	162	1
2	162	1
51	162	1
62	162	1
157	162	1
161	162	1
164	162	1
175	162	1
264	162	1
265	162	1
269	162	1
1	163	1
4	163	1
34	163	1
56	163	1
57	163	1
67	163	1
67	163	1
68	163	1
69	163	1
72	163	1
95	163	1
97	163	1
98	163	1
109	163	1
109	163	1
109	163	1
116	163	1
116	163	1
117	163	1
120	163	1
121	163	1
129	163	1
139	163	1
139	163	1
140	163	1
153	163	1
153	163	1
156	163	1
24	163	1
109	163	1
128	163	1
129	163	1
148	163	1
181	163	1
182	163	1
207	163	1
226	163	1
228	163	1
13	164	1
14	164	1
60	164	1
64	164	1
69	164	1
69	164	1
70	164	1
71	164	1
111	164	1
111	164	1
157	164	1
158	164	1
162	164	1
13	164	1
14	164	1
69	164	1
159	164	1
169	164	1
165	164	1
170	164	1
166	164	1
176	164	1
177	164	1
178	164	1
196	164	1
197	164	1
197	164	1
198	164	1
198	164	1
221	164	1
248	164	1
261	164	1
263	164	1
264	164	1
267	164	1
67	165	1
71	165	1
128	165	1
129	165	1
157	165	1
158	165	1
164	165	1
166	165	1
153	165	1
251	165	1
55	166	1
59	166	1
153	166	1
153	166	1
164	166	1
165	166	1
153	166	1
251	166	1
3	167	1
5	167	1
5	167	1
14	167	1
19	167	1
19	167	1
21	167	1
21	167	1
28	167	1
28	167	1
44	167	1
52	167	1
75	167	1
75	167	1
77	167	1
77	167	1
80	167	1
80	167	1
85	167	1
109	167	1
126	167	1
168	167	1
168	167	1
169	167	1
169	167	1
178	167	1
178	167	1
183	167	1
183	167	1
185	167	1
185	167	1
186	167	1
186	167	1
186	167	1
187	167	1
187	167	1
188	167	1
189	167	1
189	167	1
189	167	1
190	167	1
190	167	1
190	167	1
191	167	1
191	167	1
192	167	1
192	167	1
212	167	1
224	167	1
224	167	1
224	167	1
225	167	1
225	167	1
225	167	1
226	167	1
226	167	1
226	167	1
227	167	1
227	167	1
227	167	1
234	167	1
234	167	1
238	167	1
6	168	1
6	168	1
20	168	1
22	168	1
22	168	1
28	168	1
28	168	1
40	168	1
45	168	1
53	168	1
53	168	1
76	168	1
79	168	1
79	168	1
86	168	1
109	168	1
109	168	1
119	168	1
127	168	1
160	168	1
167	168	1
167	168	1
170	168	1
178	168	1
183	168	1
185	168	1
185	168	1
186	168	1
186	168	1
187	168	1
187	168	1
188	168	1
188	168	1
189	168	1
189	168	1
189	168	1
190	168	1
190	168	1
190	168	1
190	168	1
191	168	1
192	168	1
192	168	1
204	168	1
212	168	1
213	168	1
214	168	1
224	168	1
224	168	1
224	168	1
224	168	1
225	168	1
225	168	1
225	168	1
226	168	1
226	168	1
226	168	1
227	168	1
227	168	1
227	168	1
235	168	1
239	168	1
14	169	1
14	169	1
17	169	1
18	169	1
19	169	1
46	169	1
52	169	1
52	169	1
52	169	1
54	169	1
54	169	1
57	169	1
59	169	1
60	169	1
60	169	1
61	169	1
61	169	1
79	169	1
80	169	1
80	169	1
80	169	1
83	169	1
111	169	1
122	169	1
131	169	1
167	169	1
167	169	1
56	169	1
57	169	1
133	169	1
135	169	1
164	169	1
169	169	1
170	169	1
176	169	1
212	169	1
214	169	1
216	169	1
218	169	1
219	169	1
220	169	1
224	169	1
227	169	1
176	169	1
178	169	1
179	169	1
184	169	1
193	169	1
227	169	1
236	169	1
238	169	1
13	170	1
13	170	1
13	170	1
13	170	1
17	170	1
20	170	1
22	170	1
53	170	1
53	170	1
55	170	1
60	170	1
60	170	1
61	170	1
61	170	1
79	170	1
79	170	1
79	170	1
79	170	1
84	170	1
111	170	1
132	170	1
132	170	1
168	170	1
56	170	1
57	170	1
134	170	1
136	170	1
164	170	1
169	170	1
170	170	1
177	170	1
213	170	1
215	170	1
217	170	1
219	170	1
221	170	1
224	170	1
225	170	1
226	170	1
177	170	1
177	170	1
178	170	1
178	170	1
180	170	1
184	170	1
193	170	1
224	170	1
237	170	1
239	170	1
1	171	1
1	171	1
2	171	1
2	171	1
8	171	1
54	171	1
55	171	1
70	171	1
83	171	1
83	171	1
84	171	1
85	171	1
85	171	1
86	171	1
124	171	1
134	171	1
135	171	1
44	171	1
69	171	1
70	171	1
76	171	1
179	171	1
180	171	1
180	171	1
186	171	1
198	171	1
220	171	1
224	171	1
225	171	1
227	171	1
234	171	1
1	172	1
2	172	1
8	172	1
54	172	1
55	172	1
83	172	1
83	172	1
84	172	1
85	172	1
86	172	1
86	172	1
123	172	1
133	172	1
134	172	1
136	172	1
45	172	1
69	172	1
210	172	1
211	172	1
221	172	1
224	172	1
225	172	1
226	172	1
227	172	1
232	172	1
233	172	1
18	173	1
30	173	1
72	173	1
92	173	1
103	173	1
103	173	1
104	173	1
104	173	1
105	173	1
152	173	1
152	173	1
153	173	1
153	173	1
23	173	1
56	173	1
57	173	1
95	173	1
96	173	1
138	173	1
199	173	1
273	173	1
281	173	1
3	174	1
11	174	1
13	174	1
15	174	1
24	174	1
56	174	1
57	174	1
66	174	1
68	174	1
114	174	1
157	174	1
159	174	1
64	174	1
269	174	1
179	174	1
12	175	1
16	175	1
45	175	1
51	175	1
56	175	1
57	175	1
57	175	1
62	175	1
65	175	1
67	175	1
67	175	1
68	175	1
74	175	1
115	175	1
115	175	1
115	175	1
152	175	1
153	175	1
160	175	1
162	175	1
64	175	1
180	175	1
182	175	1
3	176	1
3	176	1
4	176	1
4	176	1
5	176	1
21	176	1
22	176	1
26	176	1
55	176	1
60	176	1
60	176	1
61	176	1
66	176	1
70	176	1
79	176	1
80	176	1
80	176	1
80	176	1
111	176	1
111	176	1
111	176	1
159	176	1
164	176	1
169	176	1
14	176	1
28	176	1
69	176	1
80	176	1
131	176	1
133	176	1
135	176	1
169	176	1
177	176	1
194	176	1
236	176	1
238	176	1
253	176	1
269	176	1
183	176	1
183	176	1
197	176	1
202	176	1
234	176	1
234	176	1
3	177	1
3	177	1
4	177	1
6	177	1
6	177	1
13	177	1
27	177	1
61	177	1
69	177	1
70	177	1
74	177	1
79	177	1
79	177	1
111	177	1
160	177	1
164	177	1
170	177	1
170	177	1
13	177	1
28	177	1
70	177	1
79	177	1
132	177	1
134	177	1
136	177	1
170	177	1
176	177	1
237	177	1
239	177	1
183	177	1
197	177	1
201	177	1
235	177	1
3	178	1
4	178	1
6	178	1
21	178	1
22	178	1
53	178	1
80	178	1
83	178	1
84	178	1
85	178	1
86	178	1
86	178	1
116	178	1
124	178	1
124	178	1
125	178	1
125	178	1
126	178	1
127	178	1
127	178	1
133	178	1
133	178	1
134	178	1
135	178	1
135	178	1
136	178	1
136	178	1
164	178	1
167	178	1
167	178	1
168	178	1
169	178	1
170	178	1
170	178	1
83	178	1
84	178	1
85	178	1
86	178	1
112	178	1
134	178	1
181	178	1
181	178	1
182	178	1
182	178	1
195	178	1
196	178	1
238	178	1
239	178	1
1	179	1
13	179	1
14	179	1
14	179	1
21	179	1
44	179	1
54	179	1
56	179	1
57	179	1
69	179	1
70	179	1
114	179	1
169	179	1
171	179	1
174	179	1
14	179	1
19	179	1
55	179	1
60	179	1
61	179	1
184	179	1
184	179	1
189	179	1
190	179	1
198	179	1
203	179	1
203	179	1
204	179	1
204	179	1
204	179	1
205	179	1
205	179	1
206	179	1
206	179	1
225	179	1
225	179	1
226	179	1
252	179	1
2	180	1
2	180	1
13	180	1
13	180	1
13	180	1
14	180	1
22	180	1
22	180	1
54	180	1
56	180	1
57	180	1
57	180	1
65	180	1
67	180	1
69	180	1
69	180	1
70	180	1
109	180	1
160	180	1
170	180	1
171	180	1
171	180	1
175	180	1
13	180	1
20	180	1
54	180	1
55	180	1
60	180	1
61	180	1
184	180	1
184	180	1
184	180	1
184	180	1
189	180	1
189	180	1
190	180	1
190	180	1
197	180	1
198	180	1
203	180	1
203	180	1
204	180	1
204	180	1
205	180	1
205	180	1
205	180	1
206	180	1
206	180	1
224	180	1
225	180	1
1	181	1
7	181	1
44	181	1
83	181	1
85	181	1
116	181	1
120	181	1
122	181	1
126	181	1
133	181	1
134	181	1
135	181	1
163	181	1
178	181	1
178	181	1
193	181	1
228	181	1
230	181	1
2	182	1
86	182	1
117	182	1
121	182	1
121	182	1
123	182	1
127	182	1
