N1	N2	W
74	20	1
74	20	1
78	20	1
78	20	1
114	20	1
168	20	1
170	20	1
5	21	1
5	21	1
11	21	1
11	21	1
13	21	1
13	21	1
14	21	1
14	21	1
19	21	1
19	21	1
22	21	1
42	21	1
44	21	1
40	21	1
46	21	1
61	21	1
73	21	1
73	21	1
75	21	1
75	21	1
109	21	1
109	21	1
114	21	1
115	21	1
167	21	1
167	21	1
176	21	1
178	21	1
179	21	1
183	21	1
183	21	1
220	21	1
220	21	1
222	21	1
253	21	1
6	22	1
6	22	1
12	22	1
12	22	1
13	22	1
13	22	1
14	22	1
20	22	1
21	22	1
43	22	1
45	22	1
74	22	1
60	22	1
61	22	1
61	22	1
74	22	1
74	22	1
76	22	1
76	22	1
109	22	1
109	22	1
114	22	1
115	22	1
168	22	1
168	22	1
170	22	1
176	22	1
178	22	1
180	22	1
180	22	1
183	22	1
183	22	1
221	22	1
223	22	1
225	22	1
3	23	1
4	23	1
7	23	1
173	23	1
54	23	1
60	23	1
61	23	1
61	23	1
190	23	1
15	24	1
72	24	1
163	24	1
59	24	1
60	24	1
81	24	1
81	24	1
83	24	1
85	24	1
152	24	1
152	24	1
153	24	1
153	24	1
174	24	1
188	24	1
199	24	1
199	24	1
210	24	1
210	24	1
72	25	1
82	25	1
82	25	1
84	25	1
86	25	1
153	25	1
187	25	1
212	25	1
221	26	1
176	26	1
199	26	1
205	26	1
205	26	1
221	26	1
226	26	1
4	27	1
177	27	1
200	27	1
202	27	1
206	27	1
220	27	1
225	27	1
226	27	1
56	28	1
69	28	1
70	28	1
159	28	1
160	28	1
176	28	1
177	28	1
54	28	1
54	28	1
55	28	1
55	28	1
56	28	1
56	28	1
57	28	1
58	28	1
59	28	1
66	28	1
67	28	1
79	28	1
80	28	1
109	28	1
109	28	1
153	28	1
153	28	1
159	28	1
159	28	1
160	28	1
167	28	1
167	28	1
168	28	1
168	28	1
234	28	1
54	29	1
55	29	1
242	29	1
270	29	1
55	29	1
57	29	1
58	29	1
60	29	1
61	29	1
61	29	1
87	29	1
96	29	1
152	29	1
269	29	1
269	29	1
88	30	1
243	30	1
54	30	1
55	30	1
61	30	1
96	30	1
96	30	1
103	30	1
153	30	1
173	30	1
270	30	1
270	30	1
54	31	1
55	31	1
88	31	1
244	31	1
54	31	1
55	31	1
56	31	1
57	31	1
61	31	1
89	31	1
